Fight_ID,Red_Corner_Fighter,Blue_Corner_Fighter,Red_Fighter_odds,Blue_Fighter_odds,Winner
3982,Igor Pokrajac,Todd Brown,-235.0,195.0,Red
3983,BJ Penn,Jon Fitch,170.0,-185.0,Draw
3984,Michael Bisping,Jorge Rivera,-290.0,260.0,Red
3985,George Sotiropoulos,Dennis Siver,-360.0,325.0,Blue
3986,Brian Ebersole,Chris Lytle,260.0,-320.0,Red
3987,Chris Camozzi,Kyle Noke,170.0,-185.0,Blue
3988,Ross Pearson,Spencer Fisher,-185.0,160.0,Red
3989,Alexander Gustafsson,James Te Huna,-350.0,290.0,Red
3990,Nick Ring,Riki Fukuda,100.0,-120.0,Red
3991,Tom Blackledge,Anthony Perosh,-190.0,165.0,Blue
3992,Tiequan Zhang,Jason Reinhardt,-300.0,250.0,Red
3993,Mark Hunt,Chris Tuchscherer,225.0,-265.0,Red
3994,Maciej Jewtuszko,Curt Warburton,-155.0,135.0,Blue
3995,Anderson Silva,Vitor Belfort,-210.0,190.0,Red
3996,Forrest Griffin,Rich Franklin,118.0,-128.0,Red
3997,Jon Jones,Ryan Bader,-285.0,258.0,Red
3998,Jake Ellenberger,Carlos Eduardo Rocha,-280.0,255.0,Red
3999,Miguel Torres,Antonio Banuelos,-320.0,290.0,Red
4000,Donald Cerrone,Paul Kelly,-275.0,235.0,Red
4001,Chad Mendes,Michihiro Omigawa,-365.0,305.0,Red
4002,Norifumi Yamamoto,Demetrious Johnson,-115.0,-105.0,Blue
4003,Paul Taylor,Gabe Ruediger,-220.0,180.0,Red
4004,Kyle Kingsbury,Ricardo Romero,115.0,-135.0,Red
4005,Mike Pierce,Kenny Robertson,-240.0,200.0,Red
4006,Melvin Guillard,Evan Dunham,205.0,-225.0,Red
4007,Matt Mitrione,Tim Hague,-250.0,230.0,Red
4008,Mark Hominick,George Roop,-250.0,230.0,Red
4009,Pat Barry,Joey Beltran,-174.0,164.0,Red
4010,Cole Miller,Matt Wiman,-135.0,125.0,Blue
4011,Cody McKenzie,Yves Edwards,255.0,-310.0,Blue
4012,DaMarques Johnson,Mike Guymon,-125.0,105.0,Red
4013,Rani Yahya,Mike Brown,290.0,-350.0,Red
4014,Waylon Lowe,Willamy Freire,-110.0,-110.0,Red
4015,Charlie Brenneman,Amilcar Alves,-220.0,180.0,Red
4016,Will Campuzano,Chris Cariaso,100.0,-120.0,Blue
4017,Frankie Edgar,Gray Maynard,137.0,-147.0,Draw
4018,Chris Leben,Brian Stann,-147.0,137.0,Blue
4019,Brandon Vera,Thiago Silva,125.0,-135.0,Draw
4020,Nate Diaz,Dong Hyun Kim,121.0,-131.0,Blue
4021,Clay Guida,Takanori Gomi,-137.0,127.0,Red
4022,Jeremy Stephens,Marcus Davis,-300.0,250.0,Red
4023,Dustin Poirier,Josh Grispi,250.0,-300.0,Red
4024,Phil Baroni,Brad Tavares,240.0,-280.0,Blue
4025,Mike Brown,Diego Nunes,-225.0,185.0,Blue
4026,Daniel Roberts,Greg Soto,-115.0,-105.0,Red
4027,Jacob Volkmann,Antonio McKee,170.0,-200.0,Red
4028,Georges St-Pierre,Josh Koscheck,-440.0,390.0,Red
4029,Stefan Struve,Sean McCorkle,-120.0,110.0,Red
4030,Jim Miller,Charles Oliveira,140.0,-150.0,Red
4031,Joe Stevenson,Mac Danzig,-240.0,220.0,Blue
4032,Thiago Alves,John Howard,-300.0,270.0,Red
4033,Joe Doerksen,Dan Miller,210.0,-250.0,Blue
4034,Mark Bocek,Dustin Hazelett,-150.0,130.0,Red
4035,Jesse Bongfeldt,Rafael Natal,140.0,-160.0,Draw
4036,Matthew Riddle,Sean Pierson,-250.0,210.0,Blue
4037,TJ Grant,Ricardo Almeida,130.0,-150.0,Blue
4038,Pat Audinwood,John Makdessi,-145.0,125.0,Blue
4039,Jonathan Brookins,Michael Johnson,-230.0,190.0,Red
4040,Stephan Bonnar,Igor Pokrajac,-240.0,220.0,Red
4041,Kendall Grove,Demian Maia,265.0,-295.0,Blue
4042,Johny Hendricks,Rick Story,-178.0,167.0,Blue
4043,Nam Phan,Leonard Garcia,165.0,-190.0,Blue
4044,Cody McKenzie,Aaron Wilkinson,-110.0,-110.0,Red
4045,Ian Loveland,Tyler Toner,235.0,-275.0,Red
4046,Sako Chivitchian,Kyle Watson,150.0,-170.0,Blue
4047,Will Campuzano,Nick Pace,-120.0,100.0,Blue
4048,Fredson Paixao,Pablo Garza,-190.0,165.0,Blue
4049,Rich Attonito,David Branch,140.0,-160.0,Blue
4050,Rampage Jackson,Lyoto Machida,215.0,-235.0,Red
4051,Matt Hughes,BJ Penn,195.0,-215.0,Blue
4052,Gerald Harris,Maiquel Falcao,-250.0,230.0,Blue
4053,Phil Davis,Tim Boetsch,-485.0,425.0,Red
